13.3,11.685,-1.6150000000000002
11.875,11.114999999999998,-0.7600000000000016
9.975,9.975,0.0
10.45,10.45,0.0
11.875,11.875,0.0
11.97,12.255,0.28500000000000014
11.5425,11.5425,0.0
12.73,11.685,-1.045
11.685,12.825,1.1399999999999988
12.825,14.155,1.33
14.677499999999998,14.25,-0.42749999999999844
14.725,14.25,-0.47499999999999964
14.345,16.625,2.2799999999999994
17.1,16.625,-0.4750000000000014
18.715,19.0,0.28500000000000014
16.72,16.625,-0.09499999999999886
16.625,16.625,0.0
16.625,17.8125,1.1875
17.765,17.1475,-0.6174999999999997
18.43,17.29,-1.1400000000000006
16.9005,17.6225,0.7219999999999978
